,Term,Count
1877,Unnecessary Procedures,23625
1878,Urodynamics,24114
1879,Polymerase Chain Reaction,606214
1880,Age Distribution,150730
1881,Health Policy,2158355
1882,KCNQ1 Potassium Channel,36
1883,Flaviviridae Infections,174
1884,Nurse-Patient Relations,602
1885,Trauma Centers,89370
1886,Antivenins,2170
1887,"Practice Patterns, Physicians'",121
1888,Registries,994007
1889,Mosaicism,72803
1890,Postoperative Period,91261
1891,Radiation Oncology,464189
1892,Intraoperative Complications,12589
1893,Acetylglucosaminidase,247
1894,Prospective Studies,188135
1895,Pancreas,1442893
1896,Uterus,1690144
1897,NADPH Oxidases,826
1898,Puberty,1568729
1899,Antirheumatic Agents,1332
1900,Tandem Mass Spectrometry,82905
1901,Glutamic Acid,122073
1902,Ventricular Premature Complexes,1474
1903,Blood Chemical Analysis,232
1904,"Oncology Service, Hospital",249
1905,Graft Survival,56915
1906,"Urinary Incontinence, Stress",175
1907,Body Height,39741
1908,Primary Health Care,648812
1909,Neuromuscular Nondepolarizing Agents,39
1910,"Suicide, Attempted",2541
1911,Spermatic Cord Torsion,414
1912,Syndrome,20158780
1913,Leukocyte L1 Antigen Complex,23
1914,Iatrogenic Disease,4404
1915,Lymphatic Irradiation,321
1916,Hyperglycemia,429044
1917,Surge Capacity,55011
1918,Down Syndrome,530308
1919,Saphenous Vein,56956
1920,Eosinophils,234417
1921,Injections,2971426
1922,Light,229549906
1923,Urinary Bladder,156328
1924,Tidal Volume,71675
1925,Growth,130645308
1926,Perioperative Care,32443
1927,Mexico,50512740
1928,beta Catenin,2865
1929,Chi-Square Distribution,16219
1930,Hepatitis C,563145
1931,Outcome Assessment (Health Care),164
1932,Cresols,7136
1933,Lumbar Vertebrae,41404
1934,Fibronectins,2152
1935,"Aged, 80 and over",8186
1936,Autistic Disorder,45478
1937,Head Movements,57949
1938,Marital Status,1156867
1939,Centers for Medicare and Medicaid Services (U.S.),10
1940,Cell Enlargement,3856
1941,Disease Management,406064
1942,"Drug Therapy, Combination",1247
1943,Intraocular Pressure,177692
1944,Mice,16009891
1945,"Disruptive, Impulse Control, and Conduct Disorders",134
1946,Astrocytes,532656
1947,Alismataceae,2374
1948,Scotland,31807972
1949,Periodicals as Topic,633
1950,"Carcinoma, Ductal, Breast",136
1951,Tonsillectomy,98289
1952,Chronic Periodontitis,51032
1953,Neutrophil Infiltration,21499
1954,Argentina,12425022
1955,Dyslexia,1080041
1956,Gingival Crevicular Fluid,12569
1957,Focus Groups,934262
1958,Skin,60022334
1959,Cardiac Catheterization,133242
1960,Plant Proteins,53759
1961,"Education, Nursing, Continuing",47
1962,Cerebral Angiography,13376
1963,Impetigo,67015
1964,Bronchoscopy,142387
1965,Cerebral Infarction,59703
1966,APACHE,620951
1967,Communication Barriers,51621
1968,Achilles Tendon,42003
1969,National Institutes of Health (U.S.),1588
1970,Vasodilation,161398
1971,Labor Presentation,115
1972,Platelet Aggregation Inhibitors,2665
1973,Creatinine,896704
1974,Physical Therapy Modalities,3049
1975,"Models, Organizational",1421
1976,Seizures,3723205
1977,Astrocytoma,104196
1978,Drug Carriers,19027
1979,Permeability,1424245
1980,Spectrophotometry,86047
1981,Norepinephrine,407233
1982,Plant Diseases,93148
1983,Medical History Taking,1725
1984,In Vitro Techniques,7137
1985,South Africa,30968418
1986,"Obstetric Labor, Premature",111
1987,Disease Susceptibility,50653
1988,Hand Disinfection,6104
1989,"Hospitals, Proprietary",172
1990,Mandibular Condyle,11002
1991,Fetal Weight,22778
1992,"Neoplasm, Residual",153
1993,Meat Products,343982
1994,Uterine Diseases,1669
1995,Respiration Disorders,303
1996,Licensure,1693545
1997,Incidental Findings,34825
1998,Perception,22485275
1999,Decision Making,6346441
2000,Meniere Disease,814
2001,Metoprolol,196941
2002,Tumor Burden,64203
2003,Phenotype,2413369
2004,Animal Diseases,104566
2005,Reference Standards,65261
2006,Speech Disorders,36046
2007,Orthodontics,535970
2008,Neoadjuvant Therapy,42491
2009,Cultural Characteristics,65111
2010,"Abortion, Eugenic",83
2011,Neurosurgical Procedures,15617
2012,Radionuclide Angiography,3362
2013,Early Diagnosis,485391
2014,Pelvic Floor,341736
2015,Herniorrhaphy,8680
2016,Self Care,270225
2017,Pulmonary Valve,43998
2018,Universal Coverage,138234
2019,Video-Assisted Surgery,708
2020,Exfoliation Syndrome,2524
2021,Molar,895021
2022,Fentanyl,1754377
2023,Urologic Surgical Procedures,672
2024,Age Factors,6893
2025,Medical Assistance,946193
2026,Serotyping,28321
2027,Thrombolytic Therapy,48241
2028,"Anesthesia, Conduction",99
2029,Histological Techniques,6291
2030,Kell Blood-Group System,2
2031,Cadaver,538467
2032,Gingival Hemorrhage,494
2033,Aortic Diseases,5383
2034,Metals,10259143
2035,Transurethral Resection of Prostate,3184
2036,Multimodal Imaging,19064
2037,"Urologic Surgical Procedures, Male",15
2038,Ibuprofen,895889
2039,"Shock, Hemorrhagic",257
2040,Hospital Costs,82203
2041,Health Surveys,102191
2042,"Ventricular Function, Left",371
2043,Edema,1323068
2044,"Estrogens, Conjugated (USP)",26
2045,Positron-Emission Tomography,10788
2046,Personnel Selection,37203
2047,Management Information Systems,268036
2048,gamma-Aminobutyric Acid,48636
2049,Hirschsprung Disease,2111
2050,Practice Guidelines as Topic,610
2051,Dimethylpolysiloxanes,279
2052,Communication,64960442
2053,Ischemic Postconditioning,2741
2054,European Continental Ancestry Group,887
2055,Tacrolimus,177998
2056,Journal Impact Factor,53920
2057,Emergency Medical Service Communication Systems,13
2058,"Malocclusion, Angle Class I",4
2059,Stroke Rehabilitation,57797
2060,"Pregnancy, High-Risk",191
2061,Personality Assessment,72121
2062,Advance Care Planning,84868
2063,Gene Frequency,12714
2064,Attitude to Health,3405
2065,Auditory Threshold,3084
2066,Third Ventricle,35808
2067,Research Design,427962
2068,Torque teno virus,1247
2069,Aortic Aneurysm,186805
2070,"Killer Cells, Natural",492
2071,Action Potentials,150629
2072,Benzamidines,107
2073,Medication Errors,135548
2074,"Societies, Medical",3302
2075,Organ Size,14137
2076,Risk-Taking,639902
2077,"Arthroplasty, Replacement, Hip",326
2078,Choroid Neoplasms,21
2079,Acute-Phase Reaction,1139
2080,Medication Adherence,173104
2081,"Hospitals, County",1204
2082,Physicians,14850809
2083,Feedback,31426064
2084,HIV Infections,14279
2085,Celiprolol,2960
2086,United States Food and Drug Administration,115440
2087,Prostatectomy,245733
2088,Health Behavior,178403
2089,"Fasciitis, Necrotizing",135
2090,Cerebrospinal Fluid Rhinorrhea,1518
2091,"Physicians, Family",3833
2092,Antimalarials,54934
2093,Leukocyte Count,35087
2094,Adenomatous Polyps,16342
2095,Predictive Value of Tests,1749
2096,Emergency Medicine,1412202
2097,C-Reactive Protein,29944
2098,Suburethral Slings,460
2099,Attitude of Health Personnel,750
2100,Skin Neoplasms,2127
2101,Liver Function Tests,91974
2102,Gallbladder Diseases,2322
2103,Hepatocytes,431185
2104,Splenectomy,95755
2105,"Diagnosis, Differential",3757
2106,Pharmaceutical Preparations,37478
2107,Arginine,470710
2108,Anaphylaxis,487221
2109,Survival Rate,728090
2110,Coinfection,99378
2111,Pilot Projects,349071
2112,Aorta,713310
2113,DNA Primers,1094
2114,Educational Status,60033
2115,Intellectual Disability,541902
2116,Private Practice,1797673
2117,Child,201909456
2118,Aspirin,1860160
2119,Orthodontic Space Closure,594
2120,Somatosensory Disorders,902
2121,Blood-Brain Barrier,354610
2122,"Fracture Fixation, Internal",94
2123,Common Cold,533041
2124,"Reflex, Vestibulo-Ocular",36
2125,Analysis of Variance,355290
2126,Russia,70942336
2127,Rescue Work,78304
2128,Dental Stress Analysis,24
2129,Thyroid Neoplasms,3884
2130,Mandible,369500
2131,"Sexual Dysfunction, Physiological",93
2132,Opioid-Related Disorders,775
2133,"Pneumonia, Aspiration",624
2134,Medical Audit,4304
2135,Exercise Test,58725
2136,Optical Imaging,117170
2137,X-Ray Microtomography,2459
2138,Kidney Function Tests,7359
2139,"Dermatitis, Occupational",170
2140,"Botulinum Toxins, Type A",40
2141,Internal Medicine,2356733
2142,"Stress, Mechanical",763
2143,Asphyxia,173696
2144,Oral Surgical Procedures,3258
2145,"Triiodothyronine, Reverse",76
2146,Attention,93296571
2147,Achievement,20527837
2148,Hypesthesia,6813
2149,Phytotherapy,57775
2150,Brain Neoplasms,2754
2151,Problem-Based Learning,72087
2152,Pregnancy Rate,102076
2153,Prefrontal Cortex,575590
2154,Brassica napus,30588
2155,Agriculture,29581898
2156,Atrial Appendage,60551
2157,Ophthalmology,1630548
2158,Chemoradiotherapy,100689
2159,"Antibodies, Anticardiolipin",190
2160,Gastroplasty,13466
2161,Oocyte Retrieval,16797
2162,Intervertebral Disc Displacement,267
2163,Safety,116953437
2164,Orchiectomy,31553
2165,Fluorodeoxyglucose F18,299
2166,Phimosis,36766
2167,Bronchodilator Agents,425
2168,Motivational Interviewing,138007
2169,Urinary Bladder Neoplasms,1187
2170,Physical Stimulation,19561
2171,Terminally Ill,673237
2172,Hematocrit,169844
2173,"Aneurysm, Ruptured",213
2174,"Radiotherapy, Adjuvant",214
2175,"Rupture, Spontaneous",92
2176,Orthodontic Appliances,61516
2177,Femoral Fractures,19225
2178,Surgical Wound Infection,4074
2179,Jews,32323411
2180,Oceanic Ancestry Group,472
2181,Proteinuria,284673
2182,Patient Simulation,8383
2183,"Models, Econometric",303
2184,"Reproductive Techniques, Assisted",142
2185,Sick Role,9241
2186,"Catheterization, Swan-Ganz",16
2187,Psychiatric Status Rating Scales,748
2188,Granuloma,151112
2189,Neoplasms,636386
2190,Alveolar Process,6934
2191,"Hepatitis B, Chronic",226
2192,Knee Joint,317788
2193,London,135357243
2194,Infarction,1772759
2195,"Respiration, Artificial",467
2196,Vascular Diseases,82372
2197,"Biomarkers, Tumor",1231
2198,Cross-Cultural Comparison,21648
2199,"Infant, Premature, Diseases",118
2200,Population Surveillance,5935
2201,Radiation Dosage,10728
2202,Football,84352566
2203,Datasets as Topic,123
2204,Muscarinic Antagonists,4447
2205,Spinal Dysraphism,6073
2206,Power Plants,3935496
2207,Pneumoencephalography,1575
2208,Recombinant Proteins,96393
2209,Ambulatory Care Facilities,5873
2210,Serotonin Uptake Inhibitors,2264
2211,Catchment Area (Health),24
2212,Pituitary Apoplexy,5858
2213,Mitral Valve Insufficiency,2510
2214,"Tumor Cells, Cultured",903
2215,Cervical Intraepithelial Neoplasia,34540
2216,Vasculitis,384769
2217,Interleukin-1alpha,1441
2218,Vomiting,2911296
2219,Sodium,7778373
2220,Interleukins,46544
2221,Adenoma,302324
2222,Cerebrovascular Disorders,9125
2223,"Dermatitis, Allergic Contact",1483
2224,Ureteral Calculi,4263
2225,"Hospitals, Teaching",2148
2226,Republic of Korea,1216593
2227,North Carolina,24483100
2228,Biopsy,2541946
2229,Job Satisfaction,588006
2230,Waist Circumference,202619
2231,Comprehension,3371908
2232,Luminescence,383468
2233,Polymyalgia Rheumatica,24026
2234,Data Collection,4625112
2235,Health Status Disparities,768
2236,House Calls,130981
2237,Alpha-Globulins,206
2238,Alcoholic Intoxication,4420
2239,Vaginal Smears,5200
