Doc ID,Biomedical Entities,Entity Types
430,"['major', 'depression', 'alcohol use disorder', 'poorer', 'depression']","['Severity', 'Disease_disorder', 'Disease_disorder', 'Lab_value', 'Sign_symptom']"
431,"['perioperative care', 'animal model', 'abdominal', 'preoperative', 'fasting']","['Therapeutic_procedure', 'Detailed_description', 'Biological_structure', 'Therapeutic_procedure', 'Therapeutic_procedure']"
432,"['metastatic', 'carcinoma', 'cervical nodes', 'neck', 'neck']","['Detailed_description', 'Disease_disorder', 'Biological_structure', 'Biological_structure', 'Biological_structure']"
433,"['viral', 'infection', 'acute', 'respiratory', 'infection']","['Detailed_description', 'Coreference', 'Detailed_description', 'Biological_structure', 'Disease_disorder']"
434,"['cardiopulmonary bypass', 'temperature', 'euthyroid']","['Therapeutic_procedure', 'Diagnostic_procedure', 'Disease_disorder']"
435,"['xanthogranulomatous', 'cholecystitis', 'condition']","['Disease_disorder', 'Disease_disorder', 'Coreference']"
436,"['septoplasty', 'hypertrophy', 'middle turbinate']","['Sign_symptom', 'Sign_symptom', 'Biological_structure']"
437,['prescriptions'],['History']
438,"['antiretroviral agents', 'single dosage', 'enhance', 'quality', 'life']","['Medication', 'Dosage', 'Lab_value', 'Diagnostic_procedure', 'Diagnostic_procedure']"
439,"['desflurane', 'alter', 'ventricular function']","['Medication', 'Lab_value', 'Diagnostic_procedure']"
440,['fluoroscopy'],['Diagnostic_procedure']
441,"['amblyopia', 'normalise', 'subfoveal', 'choroidal thickness', 'amblyopic', 'children']","['Disease_disorder', 'Sign_symptom', 'Biological_structure', 'Sign_symptom', 'Disease_disorder', 'Subject']"
442,['tumor'],['Sign_symptom']
443,"['performance', 'selection processes']","['Diagnostic_procedure', 'Diagnostic_procedure']"
444,['antiretroviral therapy'],['Medication']
445,"['expression', 'c - kit', 'hepatitis', 'cirrhosis', 'hepatocellular carcinoma']","['Lab_value', 'Diagnostic_procedure', 'Detailed_description', 'Disease_disorder', 'Disease_disorder']"
446,['calprotectin'],['Medication']
447,"['shaving', 'incision site', 'increase', 'infection', 'spinal']","['Therapeutic_procedure', 'Biological_structure', 'Lab_value', 'Sign_symptom', 'Biological_structure']"
448,"['follicle assessment', 'ivf', 'better', 'age', 'fsh']","['Diagnostic_procedure', 'Coreference', 'Lab_value', 'Diagnostic_procedure', 'Disease_disorder']"
449,"['contralateral', 'hydrocele', 'neonatal', 'torsion', 'more?']","['Detailed_description', 'Sign_symptom', 'Biological_structure', 'Sign_symptom', 'Lab_value']"
450,"['parents', 'recall', 'understand', 'children', 'weight status', 'bmi']","['Subject', 'Sign_symptom', 'Detailed_description', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Diagnostic_procedure']"
451,"['web', 'clinic', 'samples', 'gay', 'men', 'hiv', 'symptoms']","['Detailed_description', 'Detailed_description', 'Diagnostic_procedure', 'Personal_background', 'Sex', 'History', 'Sign_symptom']"
452,"['home sampling kits', 'sexually transmitted infections', 'men', 'sex', 'men']","['Diagnostic_procedure', 'Disease_disorder', 'Sex', 'Activity', 'Sex']"
453,"['rugby', 'headgear', 'concussion']","['Biological_structure', 'Biological_structure', 'Sign_symptom']"
454,"['body mass index', 'bmi', 'survival', 'gastric', 'gastrectomy']","['Diagnostic_procedure', 'Diagnostic_procedure', 'Lab_value', 'Biological_structure', 'Therapeutic_procedure']"
455,"['incomplete', 'traumatic', 'spinal cord injury']","['Detailed_description', 'Detailed_description', 'Disease_disorder']"
456,"['hydrophilic', 'guidewires', 'improve', 'peripheral', 'pta']","['Detailed_description', 'Coreference', 'Lab_value', 'Detailed_description', 'Diagnostic_procedure']"
457,"['molluscum', 'herpes', 'infection', 'increased', 'atopic']","['Disease_disorder', 'Disease_disorder', 'Disease_disorder', 'Lab_value', 'Detailed_description']"
458,"['ambulance', 'assaults']","['Nonbiological_location', 'Disease_disorder']"
459,"['irritable', 'bowel syndrome']","['Sign_symptom', 'Disease_disorder']"
460,"['health - related', 'quality', 'of', 'life', 'non', 'small', 'cell', 'lung']","['Sign_symptom', 'Diagnostic_procedure', 'Sign_symptom', 'Diagnostic_procedure', 'Detailed_description', 'Detailed_description', 'Detailed_description', 'Biological_structure']"
461,"['vaginal', 'dose assessment', 'image - guided', 'brachytherapy', 'cervical']","['Biological_structure', 'Diagnostic_procedure', 'Detailed_description', 'Therapeutic_procedure', 'Biological_structure']"
462,['endothelin - 1'],['Diagnostic_procedure']
463,"['vitamin d', 'deficiency', 'osteochondritis dissecans']","['Diagnostic_procedure', 'Sign_symptom', 'Disease_disorder']"
464,"['treatment', 'lung', 'premature infants']","['Coreference', 'Biological_structure', 'Subject']"
465,"[""crohn ' s disease""]",['Disease_disorder']
466,"['french', 'lay people', 'health professionals', 'wife', 'sexually transmitted disease']","['Personal_background', 'Subject', 'Nonbiological_location', 'Subject', 'Disease_disorder']"
467,"['anticoagulated', 'hemorrhage']","['Therapeutic_procedure', 'Therapeutic_procedure']"
468,"['elderly patients', 'call', '911', 'acute', 'stroke']","['Subject', 'Clinical_event', 'Nonbiological_location', 'Detailed_description', 'Coreference']"
469,"['opioid dependence', 'methadone', 'mmt']","['Disease_disorder', 'Medication', 'Disease_disorder']"
470,"['chest', 'irradiation', 'mastectomy', 'negative', 'node', 'breast']","['Biological_structure', 'Therapeutic_procedure', 'Therapeutic_procedure', 'Lab_value', 'Biological_structure', 'Biological_structure']"
471,"['managed care', 'low', 'income']","['Therapeutic_procedure', 'Detailed_description', 'Family_history']"
472,"['cell death', 'mesial', 'temporal', 'sclerosis']","['Sign_symptom', 'Biological_structure', 'Detailed_description', 'Sign_symptom']"
473,"['vaginal', 'intraepithelial neoplasia', 'cervical', 'intraepithelial neoplasia']","['Biological_structure', 'Coreference', 'Biological_structure', 'Coreference']"
474,"['improve', 'eye care services', 'low - income']","['Lab_value', 'Therapeutic_procedure', 'Detailed_description']"
475,"['hif1a', 'age - related', 'macular degeneration']","['Diagnostic_procedure', 'Detailed_description', 'Disease_disorder']"
476,"['sputum', 'systemic', 'inflammation', 'paucigranulocytic', 'asthmatics', 'non', 'inflammatory']","['Biological_structure', 'Detailed_description', 'Sign_symptom', 'History', 'History', 'Detailed_description', 'Detailed_description']"
477,"['injury', 'severity', 'heterotopic', 'ossification', 'fractures', 'acetabulum']","['Sign_symptom', 'Severity', 'Detailed_description', 'Sign_symptom', 'Disease_disorder', 'Biological_structure']"
478,"['obstructive', 'sleep apnea']","['Detailed_description', 'Sign_symptom']"
479,"['30', 'day', '1 - year', 'mortality', 'emergency', 'general surgery', 'laparotomies']","['Duration', 'Duration', 'Duration', 'Diagnostic_procedure', 'Detailed_description', 'Therapeutic_procedure', 'Therapeutic_procedure']"
480,"['process indicators', 'quality', 'care', 'colorectal cancer']","['Diagnostic_procedure', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Disease_disorder']"
481,"['elderly', 'oropharyngeal', 'carcinoma']","['Sex', 'Biological_structure', 'Disease_disorder']"
482,"['older', 'stroke']","['Subject', 'Therapeutic_procedure']"
483,"['pregnancy', 'antenatal', 'corticosteroid']","['Activity', 'Administration', 'Medication']"
484,"['hiv', 'infected', 'silent', 'myocardial', 'ischaemia', 'gated myocardial perfusion']","['History', 'Subject', 'Detailed_description', 'Biological_structure', 'Sign_symptom', 'Detailed_description']"
485,['phonological awareness'],['Diagnostic_procedure']
486,"['bcrabl', 'quantitative', 'real - time', 'pcr', 'homebrew assays']","['Diagnostic_procedure', 'Detailed_description', 'Detailed_description', 'Diagnostic_procedure', 'Detailed_description']"
487,"['immunoreactivity', 'urothelial carcinoma', 'adjuvant', 'm - vec', 'chemotherapy']","['Diagnostic_procedure', 'Disease_disorder', 'Detailed_description', 'Medication', 'Medication']"
488,"['transmission of', 'drinking patterns']","['Family_history', 'Sign_symptom']"
489,"['bactericidal activity', '3', 'cutaneous / mucosal', 'antiseptic solutions', 'presence', 'interfering', 'substances', 'improvement', 'nf', '13727', '?']","['Diagnostic_procedure', 'Lab_value', 'Detailed_description', 'Medication', 'Detailed_description', 'Sign_symptom', 'Detailed_description', 'Lab_value', 'Diagnostic_procedure', 'Lab_value', 'Lab_value']"
490,['ultrasound'],['Diagnostic_procedure']
491,"['practicing surgeon', 'early', 'lymphedema']","['Nonbiological_location', 'Detailed_description', 'Sign_symptom']"
492,['appendix'],['Biological_structure']
493,"['perspective', 'taking', 'increase', 'satisfaction']","['Diagnostic_procedure', 'Diagnostic_procedure', 'Lab_value', 'Diagnostic_procedure']"
494,"['sternal', 'fracture', 'growing children', 'rare', 'fracture']","['Biological_structure', 'Disease_disorder', 'Subject', 'Detailed_description', 'Disease_disorder']"
495,"['midwives', 'working in', 'rural location']","['Subject', 'Occupation', 'Occupation']"
496,"['severity', 'obstructive', 'sleep', 'apnea', 'high', 'continuous', 'airway pressure']","['Severity', 'Detailed_description', 'Sign_symptom', 'Disease_disorder', 'Lab_value', 'Therapeutic_procedure', 'Therapeutic_procedure']"
497,"['self', 'efficacy', 'sleep']","['Coreference', 'Sign_symptom', 'Diagnostic_procedure']"
498,"['mental health differences', 'francophone', 'non - francophone']","['Sign_symptom', 'Detailed_description', 'Detailed_description']"
499,[],[]
